ts_utc,sym,expiry,dte,spot,strike,cp,bid,ask,mid,last,volume,open_interest,iv,delta,gamma,vega,theta,day_open,day_high,day_low,prev_close
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,693.0,C,45.58,48.8,47.19,48.88,5,5,0.6735,0.9967,0.0006,0.004,0.0,43.63,49.44,43.63,48.105
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,694.0,C,44.59,47.8,46.195,47.26,14,29,0.6629,0.9965,0.0006,0.0042,-0.0009,41.34,47.26,41.34,47.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,695.0,C,43.58,46.8,45.19,46.1,29,225,0.6485,0.9963,0.0006,0.0045,-0.0021,41.68,46.1,40.16,46.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,696.0,C,42.58,45.8,44.19,43.7,12,12,0.636,0.996,0.0007,0.0047,-0.0034,40.17,44.25,40.17,45.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,697.0,C,41.59,44.8,43.195,44.01,45,84,0.6252,0.9958,0.0007,0.005,-0.0048,40.03,44.06,38.18,44.27
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,698.0,C,40.59,43.81,42.2,42.98,9,80,0.6144,0.9955,0.0008,0.0052,-0.0062,38.67,42.98,37.77,43.11
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,699.0,C,39.59,42.81,41.2,41.89,22,114,0.6018,0.9952,0.0008,0.0056,-0.0077,36.52,43.45,36.52,42.265
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,700.0,C,38.59,41.81,40.2,41.26,64,969,0.5891,0.995,0.0009,0.0059,-0.0093,35.21,42.16,35.21,41.15
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,701.0,C,37.6,40.81,39.205,40.29,18,57,0.5781,0.9946,0.001,0.0062,-0.011,38.78,41.1,38.76,40.27
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,702.0,C,36.59,39.81,38.2,39.29,94,309,0.5638,0.9943,0.001,0.0066,-0.0128,37.73,40.46,36.25,39.265
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,703.0,C,35.59,38.81,37.2,38.32,107,192,0.5512,0.9939,0.0011,0.007,-0.0146,34.56,39.46,34.56,38.265
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,704.0,C,34.58,37.81,36.195,37.35,31,330,0.5369,0.9934,0.0012,0.0074,-0.0166,33.36,37.78,31.82,37.205
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,705.0,C,33.6,35.36,34.48,36.71,41,1128,0.0,0.993,0.0013,0.0079,-0.0187,31.89,36.96,30.61,36.36
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,706.0,C,32.95,35.82,34.385,35.34,12,382,0.5614,0.9925,0.0014,0.0084,-0.021,30.91,36.69,29.61,35.17
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,707.0,C,31.64,34.82,33.23,34.33,34,399,0.5088,0.9919,0.0016,0.009,-0.0234,30.15,34.33,28.67,34.155
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,708.0,C,30.99,32.36,31.675,31.52,7,486,0.0,0.9913,0.0017,0.0096,-0.0259,28.3,31.52,28.3,33.185
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,709.0,C,29.97,32.82,31.395,32.0,151,475,0.5227,0.9907,0.0018,0.0102,-0.0287,28.29,33.0,26.75,32.36
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,710.0,C,28.97,31.83,30.4,31.6,72,2041,0.5101,0.9899,0.002,0.0109,-0.0317,25.23,31.6,25.23,31.365
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,711.0,C,27.97,30.83,29.4,30.58,97,1740,0.4963,0.9891,0.0022,0.0117,-0.0349,26.2,31.33,24.74,30.185
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,712.0,C,26.61,29.83,28.22,29.13,356,1393,0.4411,0.9882,0.0024,0.0125,-0.0384,25.21,29.13,24.05,29.29
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,713.0,C,25.62,28.83,27.225,27.67,81,388,0.4293,0.9872,0.0027,0.0134,-0.0422,23.97,29.38,22.66,28.175
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,714.0,C,24.62,27.84,26.23,26.71,24,433,0.4174,0.9861,0.0029,0.0145,-0.0464,22.51,26.97,21.85,27.3
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,715.0,C,24.06,26.85,25.455,25.02,552,2764,0.4511,0.9848,0.0032,0.0156,-0.0511,20.76,27.37,20.55,26.375
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,716.0,C,22.64,25.85,24.245,24.79,61,899,0.3944,0.9834,0.0036,0.0169,-0.0563,19.86,26.57,19.65,25.2
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,717.0,C,21.65,24.85,23.25,24.43,69,1275,0.3821,0.9817,0.004,0.0183,-0.0623,20.5,25.58,18.87,24.345
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,718.0,C,21.08,23.86,22.47,22.87,259,2117,0.4107,0.9798,0.0045,0.0199,-0.0691,19.39,24.58,18.09,23.305
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,719.0,C,20.04,22.87,21.455,22.64,622,2166,0.3936,0.9776,0.005,0.0218,-0.077,17.04,23.59,17.02,22.335
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,720.0,C,19.06,21.88,20.47,20.15,488,4506,0.3816,0.975,0.0056,0.0239,-0.0864,16.38,22.59,15.38,21.345
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,721.0,C,18.08,20.89,19.485,19.76,594,1521,0.3692,0.9718,0.0064,0.0263,-0.0976,15.8,21.6,14.93,20.33
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,722.0,C,16.76,19.9,18.33,19.61,383,1603,0.3288,0.9681,0.0073,0.0292,-0.1112,13.92,20.86,13.9,19.4
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,723.0,C,16.17,18.92,17.545,18.12,189,1475,0.3482,0.9635,0.0084,0.0326,-0.1279,12.76,19.67,12.76,18.41
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,724.0,C,14.81,16.47,15.64,16.36,422,1444,0.0,0.9579,0.0096,0.0365,-0.1485,12.67,18.59,11.79,17.38
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,725.0,C,14.17,16.97,15.57,15.67,592,3340,0.3208,0.9511,0.0111,0.0411,-0.1742,11.6,17.46,10.98,16.38
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,726.0,C,13.26,14.49,13.875,14.75,476,2231,0.0,0.9428,0.0129,0.0464,-0.2064,10.4,15.85,9.91,15.465
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,727.0,C,12.27,13.53,12.9,14.72,456,1527,0.14,0.9326,0.0149,0.0526,-0.2468,9.42,15.42,9.22,14.495
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,728.0,C,11.76,12.59,12.175,12.8,796,2229,0.2163,0.9201,0.0174,0.0597,-0.2975,8.62,14.74,8.28,13.5
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,729.0,C,10.41,11.65,11.03,11.39,886,6541,0.173,0.9051,0.0201,0.0676,-0.361,8.0,13.67,7.51,12.54
2026-09-25T13:00:10+00:00,QQQ,2026-09-25,0,744.87,730.0,C,9.62,10.49,10.055,10.43,3301,5327,0.1657,0.887,0.0232,0.0765,-0.44,6.96,12.75,6.65,11.5
